Hospital Name,Hospital ID,State,Avg Annual Admissions,Avg Expected Readmission Rate,Avg Annual Readmissions
ST VINCENT'S BIRMINGHAM,10056,Alabama,24,11.3583,4
LAWRENCE MEDICAL CENTER,10059,Alabama,20,18.3462,4
HIGHLANDS MEDICAL CENTER,10061,Alabama,29,15.4147,5
HIGHLANDS MEDICAL CENTER,10061,Alabama,30,18.3925,5
RUSSELL MEDICAL CENTER,10065,Alabama,41,21.1457,7
RUSSELL MEDICAL CENTER,10065,Alabama,34,16.4051,6
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,Alabama,101,20.8627,19
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,Alabama,69,3.9805,4
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,Alabama,80,18.6791,14
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,Alabama,91,17.2828,12
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,Alabama,64,15.4563,7
ATHENS LIMESTONE HOSPITAL,10079,Alabama,49,20.3507,12
ATHENS LIMESTONE HOSPITAL,10079,Alabama,58,14.7546,10
ATHENS LIMESTONE HOSPITAL,10079,Alabama,29,17.2869,4
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,Alabama,90,16.5233,16
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,Alabama,86,21.8773,18
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,Alabama,53,19.7871,9
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,Alabama,30,14.2485,4
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,Alabama,130,20.697,26
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,Alabama,149,16.3382,26
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,Alabama,70,17.5906,12
WALKER BAPTIST MEDICAL CENTER,10089,Alabama,40,18.0753,9
WALKER BAPTIST MEDICAL CENTER,10089,Alabama,46,21.8373,12
WALKER BAPTIST MEDICAL CENTER,10089,Alabama,56,15.5764,9
PROVIDENCE HOSPITAL,10090,Alabama,113,16.008,17
PROVIDENCE HOSPITAL,10090,Alabama,124,20.573,24
PROVIDENCE HOSPITAL,10090,Alabama,28,12.1443,4
PROVIDENCE HOSPITAL,10090,Alabama,44,17.2956,8
PROVIDENCE HOSPITAL,10090,Alabama,59,13.152,7
DCH REGIONAL MEDICAL CENTER,10092,Alabama,239,17.4066,50
DCH REGIONAL MEDICAL CENTER,10092,Alabama,157,20.6973,32
DCH REGIONAL MEDICAL CENTER,10092,Alabama,104,4.1524,5
DCH REGIONAL MEDICAL CENTER,10092,Alabama,80,14.0832,9
DCH REGIONAL MEDICAL CENTER,10092,Alabama,254,21.5674,55
THOMAS HOSPITAL,10100,Alabama,26,18.9429,4
THOMAS HOSPITAL,10100,Alabama,94,15.527,14
THOMAS HOSPITAL,10100,Alabama,50,12.094,7
THOMAS HOSPITAL,10100,Alabama,53,13.3211,9
THOMAS HOSPITAL,10100,Alabama,92,20.4754,20
CITIZENS BAPTIST MEDICAL CENTER,10101,Alabama,23,16.0385,4
CITIZENS BAPTIST MEDICAL CENTER,10101,Alabama,21,20.2453,7
PRINCETON BAPTIST MEDICAL CENTER,10103,Alabama,31,19.7349,7
PRINCETON BAPTIST MEDICAL CENTER,10103,Alabama,51,19.5171,11
PRINCETON BAPTIST MEDICAL CENTER,10103,Alabama,77,21.4589,18
PRINCETON BAPTIST MEDICAL CENTER,10103,Alabama,46,14.9132,6
GRANDVIEW MEDICAL CENTER,10104,Alabama,144,4.3469,7
GRANDVIEW MEDICAL CENTER,10104,Alabama,72,15.0312,11
GRANDVIEW MEDICAL CENTER,10104,Alabama,117,17.8752,21
GRANDVIEW MEDICAL CENTER,10104,Alabama,159,21.9673,36
GRANDVIEW MEDICAL CENTER,10104,Alabama,57,20.9438,13
GRANDVIEW MEDICAL CENTER,10104,Alabama,31,12.1185,5
PRATTVILLE BAPTIST HOSPITAL,10108,Alabama,50,17.1085,8
PRATTVILLE BAPTIST HOSPITAL,10108,Alabama,45,21.2781,9
PRATTVILLE BAPTIST HOSPITAL,10108,Alabama,42,21.4649,6
MOBILE INFIRMARY MEDICAL CENTER,10113,Alabama,156,21.2706,33
MOBILE INFIRMARY MEDICAL CENTER,10113,Alabama,150,17.2615,29
MOBILE INFIRMARY MEDICAL CENTER,10113,Alabama,74,19.1421,12
MOBILE INFIRMARY MEDICAL CENTER,10113,Alabama,24,11.8193,5
MOBILE INFIRMARY MEDICAL CENTER,10113,Alabama,62,15.1429,13
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,Alabama,48,16.2808,7
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,Alabama,30,18.5925,7
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,Alabama,33,22.7907,7
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,10118,Alabama,39,21.2653,8
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,10118,Alabama,25,18.9895,5
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,10118,Alabama,39,18.556,7
LAKELAND COMMUNITY HOSPITAL,10125,Alabama,128,13.36,12
LAKELAND COMMUNITY HOSPITAL,10125,Alabama,48,16.2316,4
TROY REGIONAL MEDICAL CENTER,10126,Alabama,17,13.9206,4
NORTH BALDWIN INFIRMARY,10129,Alabama,17,17.0317,4
ST VINCENT'S ST CLAIR,10130,Alabama,48,14.3438,7
ST VINCENT'S ST CLAIR,10130,Alabama,18,16.6442,4
CRESTWOOD MEDICAL CENTER,10131,Alabama,112,15.5798,18
CRESTWOOD MEDICAL CENTER,10131,Alabama,81,19.5215,13
CRESTWOOD MEDICAL CENTER,10131,Alabama,59,17.869,9
CRESTWOOD MEDICAL CENTER,10131,Alabama,142,3.8177,5
CRESTWOOD MEDICAL CENTER,10131,Alabama,43,13.3718,6
BROOKWOOD BAPTIST MEDICAL CENTER,10139,Alabama,31,20.6511,6
BROOKWOOD BAPTIST MEDICAL CENTER,10139,Alabama,59,16.0311,12
BROOKWOOD BAPTIST MEDICAL CENTER,10139,Alabama,56,20.6308,12
BROOKWOOD BAPTIST MEDICAL CENTER,10139,Alabama,37,12.8035,6
BROOKWOOD BAPTIST MEDICAL CENTER,10139,Alabama,21,12.4265,4
SPRINGHILL MEDICAL CENTER,10144,Alabama,75,15.013,13
SPRINGHILL MEDICAL CENTER,10144,Alabama,101,20.1411,21
SPRINGHILL MEDICAL CENTER,10144,Alabama,41,16.1699,8
SPRINGHILL MEDICAL CENTER,10144,Alabama,24,13.2325,5
EVERGREEN MEDICAL CENTER,10148,Alabama,37,15.5205,8
EVERGREEN MEDICAL CENTER,10148,Alabama,40,13.5934,5
EVERGREEN MEDICAL CENTER,10148,Alabama,21,16.2839,5
BAPTIST MEDICAL CENTER EAST,10149,Alabama,64,19.982,11
BAPTIST MEDICAL CENTER EAST,10149,Alabama,32,19.7265,5
BAPTIST MEDICAL CENTER EAST,10149,Alabama,61,16.3256,8
RUSSELLVILLE HOSPITAL,10158,Alabama,33,14.7884,7
RUSSELLVILLE HOSPITAL,10158,Alabama,27,17.3595,7
COOSA VALLEY MEDICAL CENTER,10164,Alabama,28,18.1599,6
COOSA VALLEY MEDICAL CENTER,10164,Alabama,35,14.8599,4
JACK HUGHSTON MEMORIAL HOSPITAL,10168,Alabama,306,3.7182,9
ATMORE COMMUNITY HOSPITAL,10169,Alabama,15,15.9646,4
ATMORE COMMUNITY HOSPITAL,10169,Alabama,19,20.4295,5
PROVIDENCE ALASKA MEDICAL CENTER,20001,Alaska,62,16.2814,10
PROVIDENCE ALASKA MEDICAL CENTER,20001,Alaska,141,20.6266,25
PROVIDENCE ALASKA MEDICAL CENTER,20001,Alaska,58,19.2805,10
PROVIDENCE ALASKA MEDICAL CENTER,20001,Alaska,138,13.4169,19
MAT-SU REGIONAL MEDICAL CENTER,20006,Alaska,85,16.1089,10
MAT-SU REGIONAL MEDICAL CENTER,20006,Alaska,26,20.1884,4
MAT-SU REGIONAL MEDICAL CENTER,20006,Alaska,49,21.5191,12
MAT-SU REGIONAL MEDICAL CENTER,20006,Alaska,32,13.3904,4
FAIRBANKS MEMORIAL HOSPITAL,20012,Alaska,35,21.4567,4
FAIRBANKS MEMORIAL HOSPITAL,20012,Alaska,28,14.9925,4
ALASKA REGIONAL HOSPITAL,20017,Alaska,47,15.9665,5
ALASKA REGIONAL HOSPITAL,20017,Alaska,55,21.5791,12
ALASKA REGIONAL HOSPITAL,20017,Alaska,20,17.4418,6
ALASKA REGIONAL HOSPITAL,20017,Alaska,213,3.5305,8
ALASKA REGIONAL HOSPITAL,20017,Alaska,43,13.724,4
CENTRAL PENINSULA GENERAL HOSPITAL,20024,Alaska,31,22.4339,6
CENTRAL PENINSULA GENERAL HOSPITAL,20024,Alaska,33,14.4209,6
CENTRAL PENINSULA GENERAL HOSPITAL,20024,Alaska,47,20.2642,9
CENTRAL PENINSULA GENERAL HOSPITAL,20024,Alaska,55,3.4579,4
ALASKA NATIVE MEDICAL CENTER,20026,Alaska,37,20.916,7
ALASKA NATIVE MEDICAL CENTER,20026,Alaska,34,20.9033,6
ALASKA NATIVE MEDICAL CENTER,20026,Alaska,42,17.8605,6
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,30002,Arizona,92,23.6841,20
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,30002,Arizona,70,17.8199,10
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,30002,Arizona,29,18.2554,4
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,30002,Arizona,52,14.0035,7
TUCSON MEDICAL CENTER,30006,Arizona,94,13.8596,17
TUCSON MEDICAL CENTER,30006,Arizona,35,11.0275,4
TUCSON MEDICAL CENTER,30006,Arizona,68,18.0466,10
TUCSON MEDICAL CENTER,30006,Arizona,210,3.7398,5
TUCSON MEDICAL CENTER,30006,Arizona,161,15.3115,24
TUCSON MEDICAL CENTER,30006,Arizona,202,19.4276,38
VERDE VALLEY MEDICAL CENTER,30007,Arizona,64,20.9595,8
VERDE VALLEY MEDICAL CENTER,30007,Arizona,93,15.5872,12
ST. MARY'S HOSPITAL,30010,Arizona,72,16.1072,10
ST. MARY'S HOSPITAL,30010,Arizona,53,20.3408,10
ST. MARY'S HOSPITAL,30010,Arizona,47,12.7297,6
ST. MARY'S HOSPITAL,30010,Arizona,22,20.2471,4
ST JOSEPH'S HOSPITAL,30011,Arizona,76,19.6146,19
ST JOSEPH'S HOSPITAL,30011,Arizona,87,14.7132,13
ST JOSEPH'S HOSPITAL,30011,Arizona,53,20.057,9
ST JOSEPH'S HOSPITAL,30011,Arizona,48,13.0646,7
YAVAPAI REGIONAL MEDICAL CENTER,30012,Arizona,39,10.2843,5
YAVAPAI REGIONAL MEDICAL CENTER,30012,Arizona,175,14.2708,23
YAVAPAI REGIONAL MEDICAL CENTER,30012,Arizona,62,16.6835,12
YAVAPAI REGIONAL MEDICAL CENTER,30012,Arizona,114,12.1945,13
YAVAPAI REGIONAL MEDICAL CENTER,30012,Arizona,123,19.7192,24
YUMA REGIONAL MEDICAL CENTER,30013,Arizona,45,12.0953,6
YUMA REGIONAL MEDICAL CENTER,30013,Arizona,116,14.6591,12
YUMA REGIONAL MEDICAL CENTER,30013,Arizona,209,16.251,36
YUMA REGIONAL MEDICAL CENTER,30013,Arizona,172,20.6714,34
YUMA REGIONAL MEDICAL CENTER,30013,Arizona,73,17.7938,10
JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,30014,Arizona,104,16.649,15
JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,30014,Arizona,72,19.7667,13
JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,30014,Arizona,31,13.1852,4
JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,30014,Arizona,38,18.9762,4
BANNER CASA GRANDE MEDICAL CENTER,30016,Arizona,96,16.0995,19
BANNER CASA GRANDE MEDICAL CENTER,30016,Arizona,55,20.2734,7
BANNER CASA GRANDE MEDICAL CENTER,30016,Arizona,24,17.0105,6
FLAGSTAFF MEDICAL CENTER,30023,Arizona,87,20.1916,13
FLAGSTAFF MEDICAL CENTER,30023,Arizona,24,17.8389,5
FLAGSTAFF MEDICAL CENTER,30023,Arizona,58,13.567,6
FLAGSTAFF MEDICAL CENTER,30023,Arizona,67,15.9905,8
FLAGSTAFF MEDICAL CENTER,30023,Arizona,28,10.921,4
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,Arizona,92,17.369,16
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,Arizona,63,21.6742,12
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,Arizona,33,19.9627,5
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,30024,Arizona,41,14.9305,7
ABRAZO CENTRAL CAMPUS,30030,Arizona,21,23.2709,5
ABRAZO CENTRAL CAMPUS,30030,Arizona,33,16.6404,4
CHANDLER REGIONAL MEDICAL CENTER,30036,Arizona,78,18.9528,14
CHANDLER REGIONAL MEDICAL CENTER,30036,Arizona,157,21.6716,32
CHANDLER REGIONAL MEDICAL CENTER,30036,Arizona,249,17.3624,37
CHANDLER REGIONAL MEDICAL CENTER,30036,Arizona,98,14.9168,15
CHANDLER REGIONAL MEDICAL CENTER,30036,Arizona,42,11.4777,5
HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,30038,Arizona,87,19.4977,20
HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,30038,Arizona,35,17.2308,8
HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,30038,Arizona,110,16.22,14
CANYON VISTA MEDICAL CENTER,30043,Arizona,83,14.8826,9
CANYON VISTA MEDICAL CENTER,30043,Arizona,36,17.4746,7
CANYON VISTA MEDICAL CENTER,30043,Arizona,58,19.4557,12
CANYON VISTA MEDICAL CENTER,30043,Arizona,35,12.8271,5
KINGMAN REGIONAL MEDICAL CENTER,30055,Arizona,92,21.0479,19
KINGMAN REGIONAL MEDICAL CENTER,30055,Arizona,123,16.5569,20
KINGMAN REGIONAL MEDICAL CENTER,30055,Arizona,52,14.2736,4
BANNER BOSWELL MEDICAL CENTER,30061,Arizona,187,21.0771,41
BANNER BOSWELL MEDICAL CENTER,30061,Arizona,62,17.322,11
BANNER BOSWELL MEDICAL CENTER,30061,Arizona,282,17.4079,49
BANNER BOSWELL MEDICAL CENTER,30061,Arizona,79,14.4176,12
BANNER BOSWELL MEDICAL CENTER,30061,Arizona,57,11.5097,7
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,30062,Arizona,59,14.6512,6
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,30062,Arizona,49,19.196,8
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,30064,Arizona,91,18.1456,13
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,30064,Arizona,82,22.4347,17
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,30064,Arizona,19,20.1246,4
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,30064,Arizona,38,14.7706,5
BANNER DESERT MEDICAL CENTER,30065,Arizona,57,19.1721,11
BANNER DESERT MEDICAL CENTER,30065,Arizona,61,12.6358,8
BANNER DESERT MEDICAL CENTER,30065,Arizona,184,16.5861,35
BANNER DESERT MEDICAL CENTER,30065,Arizona,118,19.7932,22
HAVASU REGIONAL MEDICAL CENTER,30069,Arizona,105,15.7509,16
HAVASU REGIONAL MEDICAL CENTER,30069,Arizona,84,12.4776,12
HAVASU REGIONAL MEDICAL CENTER,30069,Arizona,59,18.5689,10
HAVASU REGIONAL MEDICAL CENTER,30069,Arizona,115,19.8414,25
HAVASU REGIONAL MEDICAL CENTER,30069,Arizona,30,12.3019,6
FORT DEFIANCE INDIAN HOSPITAL,30071,Arizona,31,12.7742,4
TUBA CITY REGIONAL HEALTH CARE CORPORATION,30073,Arizona,45,13.1832,7
ABRAZO SCOTTSDALE CAMPUS,30083,Arizona,106,3.3936,6
ABRAZO SCOTTSDALE CAMPUS,30083,Arizona,22,19.4961,4
ABRAZO SCOTTSDALE CAMPUS,30083,Arizona,40,15.3826,10
NORTHWEST MEDICAL CENTER,30085,Arizona,109,19.1821,19
NORTHWEST MEDICAL CENTER,30085,Arizona,50,17.1733,11
NORTHWEST MEDICAL CENTER,30085,Arizona,61,12.6351,8
NORTHWEST MEDICAL CENTER,30085,Arizona,112,15.8553,16
HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,30087,Arizona,192,19.7234,37
HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,30087,Arizona,256,3.6478,10
HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,30087,Arizona,53,17.7926,10
HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,30087,Arizona,76,12.6497,9
HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,30087,Arizona,36,10.0923,6
HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,30087,Arizona,211,15.6897,37
BANNER BAYWOOD MEDICAL CENTER,30088,Arizona,128,20.7617,26
BANNER BAYWOOD MEDICAL CENTER,30088,Arizona,65,17.2945,9
BANNER BAYWOOD MEDICAL CENTER,30088,Arizona,243,16.7846,35
BANNER THUNDERBIRD MEDICAL CENTER,30089,Arizona,122,22.1871,24
BANNER THUNDERBIRD MEDICAL CENTER,30089,Arizona,39,18.8753,6
BANNER THUNDERBIRD MEDICAL CENTER,30089,Arizona,167,17.8322,29
BANNER THUNDERBIRD MEDICAL CENTER,30089,Arizona,58,14.8328,6
HONORHEALTH DEER VALLEY MEDICAL CENTER,30092,Arizona,74,19.5161,12
HONORHEALTH DEER VALLEY MEDICAL CENTER,30092,Arizona,40,17.6978,7
HONORHEALTH DEER VALLEY MEDICAL CENTER,30092,Arizona,101,16.324,16
HONORHEALTH DEER VALLEY MEDICAL CENTER,30092,Arizona,41,12.2334,5
BANNER DEL E. WEBB MEDICAL CENTER,30093,Arizona,199,20.6062,37
BANNER DEL E. WEBB MEDICAL CENTER,30093,Arizona,85,17.5191,14
BANNER DEL E. WEBB MEDICAL CENTER,30093,Arizona,317,16.1676,52
BANNER DEL E. WEBB MEDICAL CENTER,30093,Arizona,84,12.0007,9
ABRAZO ARROWHEAD HOSPITAL,30094,Arizona,58,4.2195,4
ABRAZO ARROWHEAD HOSPITAL,30094,Arizona,126,20.5524,23
ABRAZO ARROWHEAD HOSPITAL,30094,Arizona,42,18.6883,9
ABRAZO ARROWHEAD HOSPITAL,30094,Arizona,109,16.263,20
ABRAZO ARROWHEAD HOSPITAL,30094,Arizona,81,14.2792,13
WESTERN ARIZONA REGIONAL MEDICAL CENTER,30101,Arizona,53,16.8454,10
WESTERN ARIZONA REGIONAL MEDICAL CENTER,30101,Arizona,72,21.5808,15
WESTERN ARIZONA REGIONAL MEDICAL CENTER,30101,Arizona,47,12.8575,7
WESTERN ARIZONA REGIONAL MEDICAL CENTER,30101,Arizona,48,19.8935,9
MAYO CLINIC HOSPITAL,30103,Arizona,253,21.5883,54
MAYO CLINIC HOSPITAL,30103,Arizona,226,17.4981,33
MAYO CLINIC HOSPITAL,30103,Arizona,226,3.9494,5
MAYO CLINIC HOSPITAL,30103,Arizona,56,13.8554,7
MAYO CLINIC HOSPITAL,30103,Arizona,40,20.5278,5
BANNER HEART HOSPITAL,30105,Arizona,145,12.3755,21
BANNER HEART HOSPITAL,30105,Arizona,68,10.1267,7
BANNER HEART HOSPITAL,30105,Arizona,136,20.0201,24
ARIZONA SPINE AND JOINT HOSPITAL,30107,Arizona,284,3.3276,6
THE CORE INSTITUTE SPECIALTY HOSP,30108,Arizona,237,3.2256,7
ABRAZO WEST CAMPUS,30110,Arizona,59,21.6186,14
ABRAZO WEST CAMPUS,30110,Arizona,42,18.8318,7
ABRAZO WEST CAMPUS,30110,Arizona,86,15.1766,16
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,30111,Arizona,32,16.2611,5
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,30111,Arizona,22,21.2067,4
ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,30112,Arizona,150,3.2487,7
ORO VALLEY HOSPITAL,30114,Arizona,150,3.78,6
ORO VALLEY HOSPITAL,30114,Arizona,88,18.2872,15
ORO VALLEY HOSPITAL,30114,Arizona,36,16.2604,7
ORO VALLEY HOSPITAL,30114,Arizona,38,11.0907,4
ORO VALLEY HOSPITAL,30114,Arizona,73,13.744,13
BANNER ESTRELLA MEDICAL CENTER,30115,Arizona,98,18.0352,17
BANNER ESTRELLA MEDICAL CENTER,30115,Arizona,78,21.73,14
BANNER ESTRELLA MEDICAL CENTER,30115,Arizona,28,14.9054,5
VALLEY VIEW MEDICAL CENTER,30117,Arizona,18,19.9396,6
VALLEY VIEW MEDICAL CENTER,30117,Arizona,23,18.7764,4
VALLEY VIEW MEDICAL CENTER,30117,Arizona,28,15.1229,5
